id,Latitude,Longitude,NumberOfStories,YearBuilt,OccupancyClass,StructureType,ReplacementCost
1,37.760737,-122.2323511,1,1911,RES1,W1,1000
2,37.760578,-122.23275,1,1909,RES1,W1,1000
3,37.7610016,-122.2327057,1,1946,RES1,W1,1000
4,37.7609541,-122.2326171,1,1909,RES1,W1,1000
5,37.7608829,-122.2324841,2,1909,RES1,W1,1000
6,37.7607832,-122.2329938,2,1912,RES3,W1,1000
7,37.7608218,-122.2324398,2,1909,RES1,W1,1000
8,37.7607103,-122.2329273,1,1911,RES1,W1,1000
9,37.760639,-122.2327944,1,1911,RES1,W1,1000
10,37.7606658,-122.2322182,2,1907,RES1,W1,1000
11,37.7604932,-122.2326614,1,1911,RES1,W1,1000
12,37.7604355,-122.2324841,1,1911,RES1,W1,1000
13,37.7602247,-122.2314647,1,1910,RES1,W1,1000
14,37.7607569,-122.2315533,1,1905,RES1,W1,1000
15,37.7611396,-122.2311544,1,1920,RES1,W1,1000
16,37.7600624,-122.2319965,1,1918,RES1,W1,1000
17,37.7605904,-122.2316673,1,1906,RES1,W1,1000
18,37.7605329,-122.2310658,1,1890,RES1,W1,1000
19,37.7610109,-122.2313317,2,1905,RES1,W1,1000
20,37.7609803,-122.2310658,2,1925,RES1,W1,1000
21,37.7610753,-122.231243,1,1905,RES1,W1,1000
22,37.760159,-122.2321073,1,1906,RES1,W1,1000
23,37.7609225,-122.2308885,1,1915,RES1,W1,1000
24,37.7609237,-122.2313428,1,1890,RES1,W1,1000
25,37.7608212,-122.2314647,3,1905,RES1,W1,1000
26,37.760814,-122.2307555,2,1913,RES1,W1,1000
27,37.7607361,-122.2308885,2,1900,RES3,W1,1000
28,37.7606718,-122.2309771,2,1890,RES1,W1,1000
29,37.7606688,-122.2315976,1,1905,RES1,W1,1000
30,37.7605528,-122.2317638,2,1903,RES1,W1,1000
31,37.760455,-122.2311987,2,1926,RES1,W1,1000
32,37.7604758,-122.2318636,2,1928,RES1,W1,1000
33,37.7603899,-122.2313206,1,1890,RES1,W1,1000
34,37.7604114,-122.2319522,2,1930,RES1,W1,1000
35,37.7603128,-122.2314203,3,1890,RES3,URML,1000
36,37.7602184,-122.2322182,2,1906,RES1,W1,1000
37,37.7601469,-122.2315976,1,1910,RES1,W1,1000
38,37.7599539,-122.2318636,1,1918,RES1,W1,1000
39,37.7598961,-122.2316863,1,1915,RES1,W1,1000
40,37.7602746,-122.2299577,1,1905,RES1,W1,1000
41,37.7602921,-122.2307555,2,1910,RES1,W1,1000
42,37.7595059,-122.2308885,1,1920,RES1,W1,1000
43,37.7602205,-122.230135,1,1900,RES1,W1,1000
44,37.7606342,-122.2304895,2,1900,RES1,W1,1000
45,37.7605713,-122.2303203,1,1910,RES1,W1,1000
46,37.7604544,-122.2302236,1,1910,RES1,W1,1000
47,37.7603835,-122.2305782,3,1890,RES1,W1,1000
48,37.7604069,-122.230135,1,1915,RES1,W1,1000
49,37.7599094,-122.2311544,1,1920,RES1,W1,1000
50,37.7598378,-122.2305339,1,1920,RES1,W1,1000
51,37.759769,-122.231199,2,1915,RES1,W1,1000
52,37.759769,-122.230659,2,1925,RES1,W1,1000
53,37.760135,-122.230795,2,1905,RES1,W1,1000
54,37.7601189,-122.2302236,2,1920,RES1,W1,1000
55,37.7597091,-122.2307112,1,1922,RES1,W1,1000
56,37.7596075,-122.2307998,1,1912,RES1,W1,1000
57,37.7596282,-122.2314647,1,1915,RES1,W1,1000
58,37.7601396,-122.2308885,1,1920,RES1,W1,1000
59,37.7600783,-122.2303566,2,1920,RES1,W1,1000
60,37.759977,-122.2309328,1,1918,RES1,W1,1000
61,37.7599902,-122.2304009,1,1920,RES1,W1,1000
62,37.7599364,-122.2310658,1,1905,RES1,W1,1000
63,37.7599021,-122.2304452,1,1920,RES1,W1,1000
64,37.7597061,-122.2313317,1,1915,RES1,W1,1000
65,37.7589869,-122.2302679,1,1912,RES1,W1,1000
66,37.7584831,-122.2295366,2,1912,RES1,W1,1000
67,37.7564102,-122.2289382,1,1895,RES1,W1,1000
68,37.7578945,-122.2287166,1,1912,RES1,W1,1000
69,37.7572498,-122.2301571,1,1920,RES1,W1,1000
70,37.7572736,-122.2276971,1,1912,RES1,W1,1000
71,37.7588546,-122.2300906,2,1912,RES1,W1,1000
72,37.7580522,-122.231376,1,1906,RES1,W1,1000
73,37.7581354,-122.2290269,2,1912,RES1,W1,1000
74,37.7579572,-122.2311987,1,1907,RES3,W1,1000
75,37.7580506,-122.2289382,1,1912,RES1,W1,1000
76,37.7578724,-122.2311101,4,1910,RES3,S2M,1000
77,37.7579793,-122.2288052,2,1912,RES1,W1,1000
78,37.7576926,-122.2308441,1,1920,RES3,RM1L,1000
79,37.7566137,-122.2292485,1,1906,RES3,W1,1000
80,37.7586986,-122.229869,1,1912,RES1,W1,1000
81,37.7565154,-122.2292042,1,1900,RES1,W1,1000
82,37.7592769,-122.2306004,1,1912,RES1,W1,1000
83,37.7586273,-122.229736,2,1912,RES1,W1,1000
84,37.7591192,-122.2304452,1,1912,RES1,W1,1000
85,37.7571585,-122.2278301,1,1912,RES1,W1,1000
86,37.7570819,-122.2299133,1,1920,RES1,W1,1000
87,37.7575349,-122.2281847,2,1912,RES1,W1,1000
88,37.7574415,-122.2304452,1,1910,RES3,W1,1000
89,37.758339,-122.2293371,1,1912,RES1,W1,1000
90,37.7587834,-122.2299577,2,1912,RES1,W1,1000
91,37.7591667,-122.2305339,2,1912,RES1,W1,1000
92,37.7582591,-122.2315533,2,1905,RES3,W1,1000
93,37.7582542,-122.2292485,1,1912,RES1,W1,1000
94,37.7581812,-122.2316863,1,1898,RES3,W1,1000
95,37.7581829,-122.2291155,2,1912,RES1,W1,1000
96,37.7585798,-122.2296474,1,1912,RES1,W1,1000
97,37.7584238,-122.2294258,2,1912,RES1,W1,1000
98,37.7583607,-122.2314647,3,1898,RES1,W1,1000
99,37.7577774,-122.2309328,1,1927,RES1,W1,1000
100,37.7578098,-122.2286279,1,1912,RES1,W1,1000
101,37.7590344,-122.2303566,1,1912,RES1,W1,1000
102,37.7589021,-122.2301793,1,1912,RES1,W1,1000
103,37.7577758,-122.228495,2,1912,RES1,W1,1000
104,37.757584,-122.2307112,1,1938,RES1,W1,1000
105,37.757691,-122.2284063,1,1912,RES1,W1,1000
106,37.7575128,-122.2305782,1,1922,RES1,W1,1000
107,37.7576062,-122.2283177,2,1912,RES1,W1,1000
108,37.7574501,-122.228096,1,1912,RES1,W1,1000
109,37.7573457,-122.230246,2,1937,RES3,W1,1000
110,37.7574026,-122.2280074,1,1912,RES1,W1,1000
111,37.7571667,-122.230002,2,1896,RES3,W1,1000
112,37.7569734,-122.2297804,3,1933,RES3,W1,1000
113,37.7564949,-122.2290269,1,1966,RES3,W1,1000
114,37.7569021,-122.2296474,1,1888,RES1,W1,1000
115,37.7567427,-122.2295587,1,1922,RES3,W1,1000
116,37.7567358,-122.2293371,2,1925,RES1,W1,1000
117,37.7564065,-122.2285836,2,1925,RES1,W1,1000
118,37.7562914,-122.2287166,2,1925,RES1,W1,1000
119,37.7562618,-122.228905,2,1925,RES1,W1,1000
120,37.7561897,-122.2288052,1,1925,RES1,W1,1000
121,37.7586424,-122.2321295,1,1915,RES1,W1,1000
122,37.7588849,-122.2323733,2,1915,RES1,W1,1000
123,37.7593844,-122.2317749,1,1924,RES1,W1,1000
124,37.7592521,-122.2315976,1,1924,RES1,W1,1000
125,37.7584982,-122.2319301,4,1910,RES3,RM1M,1000
